Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
M36EW,Trial 1,0.81512605,baseline_1,97,22,
M36EW,Trial 2,0.350877193,baseline_2,40,74,
M36EW,Trial 14,0,quiet_stroller,0,116,
M36EW,Trial 16,0.633928571,noise_hand,71,41,
M36EW,Trial 20,0.811764706,quiet_hand,69,16,
M36EW,Trial 19,0,quiet_car,0,120,
M36EW,Trial 18,1,noise_foot,120,0,
M36EW,Trial 17,0.517241379,noise_stroller,60,56,
M36EW,Trial 13,0.560747664,noise_car,60,47,
M36EW,Trial 15,0.615384615,quiet_foot,64,40,
M36EW,Trial 11,0.443396226,baseline_3,47,59,
M36EW,Trial 12,0.094017094,baseline_4,11,106,
M36EW,Trial 3,0.010309278,quiet_eye,1,96,
M36EW,Trial 4,0,noise_eye,0,57,
M36EW,Trial 5,0.595505618,noise_nose,53,36,
M36EW,Trial 6,0.547169811,quiet_nose,58,48,
M36EW,Trial 7,0.2,noise_milk,16,64,
M36EW,Trial 8,0.690909091,noise_dog,76,34,
M36EW,Trial 9,0.701754386,quiet_dog,80,34,
M36EW,Trial 10,0,quiet_milk,0,39,
,,,,,,
M37JD,Trial 1,0.640776699,baseline_1,66,37,
M37JD,Trial 2,0.745283019,baseline_2,79,27,
M37JD,Trial 3,0.307692308,quiet_stroller,16,36,
M37JD,Trial 4,0.266055046,noise_hand,29,80,
M37JD,Trial 5,0.459016393,quiet_hand,28,33,
M37JD,Trial 6,0.794117647,quiet_car,54,14,
M37JD,Trial 7,0.320754717,noise_foot,17,36,
M37JD,Trial 8,0.092592593,noise_stroller,5,49,
M37JD,Trial 9,0.903614458,noise_car,75,8,
M37JD,Trial 10,0.811320755,quiet_foot,86,20,
M37JD,Trial 11,0.828571429,baseline_3,58,12,
M37JD,Trial 12,0.692307692,baseline_4,36,16,
M37JD,Trial 13,0.630434783,quiet_eye,29,17,
M37JD,Trial 14,0.670886076,noise_eye,53,26,
M37JD,Trial 15,0.511627907,noise_nose,22,21,
M37JD,Trial 16,0.361702128,quiet_nose,17,30,
M37JD,Trial 17,0.404761905,noise_milk,17,25,
M37JD,Trial 18,0.5,noise_dog,17,17,
M37JD,Trial 19,0.545454545,quiet_dog,24,20,
M37JD,Trial 20,1,quiet_milk,4,0,DROPPED
,,,,,,
M41GG,Trial 1,0.228070175,baseline_1,26,88,
M41GG,Trial 2,0.623188406,baseline_2,43,26,
M41GG,Trial 13,0.541666667,quiet_stroller,13,11,
M41GG,Trial 14,0.2,noise_hand,8,32,
M41GG,Trial 15,0.610169492,quiet_hand,72,46,
M41GG,Trial 16,1,quiet_car,77,0,
M41GG,Trial 17,0.569892473,noise_foot,53,40,
M41GG,Trial 18,0.821782178,noise_stroller,83,18,
M41GG,Trial 19,0.403846154,noise_car,21,31,
M41GG,Trial 20,NaN,quiet_foot,0,0,DROPPED
M41GG,Trial 11,0.264367816,baseline_3,23,64,
M41GG,Trial 12,0.606382979,baseline_4,57,37,
M41GG,Trial 9,0.49137931,quiet_eye,57,59,
M41GG,Trial 10,1,noise_eye,53,0,
